,product_name,brand_name,RAM,ResolusiKamera,UkuranLayar,KapasitasBaterai,release_date,display_name,price_mean_new,price_mean_used,price_max,price_min
1514,Picophone M4P,Axioo,2 GB,8 MP,5 inch,2000 mAh,2015.0,Axioo Picophone M4P,1204150.0,0,1150000,0
1515,BP-99 Casco,Bellphone,256 MB,,4.5 inch,2200 mAh,,Bellphone BP-99 Casco,0.0,0,0,0
1516,K5 Pro RAM 6GB ROM 128GB,Lenovo,6.144 MB,12 MP,5.99 inch,4050 mAh,2019.0,Lenovo K5 Pro RAM 6GB ROM 128GB,0.0,0,0,0
1517,ST312 Heal,Strawberry,256 MB,0.3 MP,4 inch,,,Strawberry ST312 Heal,288111.11111111107,0,229000,0
1518,Vibe P1 Turbo,Lenovo,3 GB,13 MP,5.5 inch,5000 mAh,2015.0,Lenovo Vibe P1 Turbo,2131694.4444444445,0,1700000,0
1519,G3 D855 32GB,LG,3 GB,13 MP,5.5 inch,3000 mAh,2014.0,LG G3 D855 32GB,7150000.0,0,7150000,0
1520,A588T,Lenovo,512 MB,5 MP,4 inch,2250 mAh,2014.0,Lenovo A588T,1515000.0,0,1515000,0
1521,CC9 Pro RAM 8GB ROM 256GB,Xiaomi,8 GB,48 MP,2340 inch,4030 mAh,2019.0,Xiaomi CC9 Pro RAM 8GB ROM 256GB,0.0,0,0,0
1522,X30 Pro 256GB,Vivo,8 GB,64 MP,6.44 inch,4350 mAh,2019.0,Vivo X30 Pro 256GB,0.0,0,0,0
1523,NX-G869 Cappuccino,S-Nexian,,2 MP,3.2 inch,,2007.0,S-Nexian NX-G869 Cappuccino,461344.44444444455,0,299000,0
1524,Xperia XA1 Ultra 64GB,Sony,4 GB,23 MP,6 inch,2700 mAh,2017.0,Sony Xperia XA1 Ultra 64GB,3947583.333333334,0,3730000,0
1525,One X A65,Evercoss,1 GB,5 MP,4.5 inch,1700 mAh,2014.0,Evercoss One X A65,849833.3333333335,0,749000,0
1526,S8500 Wave,Samsung,,5 MP,3.3 inch,1500 mAh,2010.0,Samsung S8500 Wave,0.0,0,0,0
1527,Rocket R1 R2403,Polytron,512 MB,5 MP,4 inch,1250 mAh,2015.0,Polytron Rocket R1 R2403,549000.0,0,549000,0
1528,Xperia E3 D2202,Sony,1 GB,5 MP,4.5 inch,2330 mAh,2014.0,Sony Xperia E3 D2202,818600.0,0,799000,0
1529,One X 32GB,HTC,1 GB,8 MP,4.7 inch,1800 mAh,2012.0,HTC One X 32GB,3599000.0,0,3599000,0
1530,B8800,Brandcode,512 MB,2 MP,5 inch,5800 mAh,2016.0,Brandcode B8800,476544.44444444455,0,449000,0
1531,Galaxy Ace 3 Duos S7272,Samsung,1 GB,5 MP,4 inch,1500 mAh,2013.0,Samsung Galaxy Ace 3 Duos S7272,2089500.0,0,2089500,0
1532,Find Piano R8113,OPPO,512 MB,5 MP,4 inch,1710 mAh,2012.0,OPPO Find Piano R8113,2150000.0,0,2150000,0
1533,Millenium,Dell,,8 MP,4.3 inch,,2011.0,Dell Millenium,0.0,0,0,0
1534,S850,Lenovo,1 GB,13 MP,5 inch,2000 mAh,2013.0,Lenovo S850,690530.5555555555,0,599000,0
1535,Mi 2S 16GB,Xiaomi,2 GB,8 MP,4.3 inch,2000 mAh,2013.0,Xiaomi Mi 2S 16GB,1799000.0,0,1799000,0
1536,Iris 600,Lava,1 GB,5 MP,4.5 inch,1750 mAh,,Lava Iris 600,852183.3333333335,0,740000,0
1537,A910,Mito,256 MB,2 MP,,,,Mito A910,655000.0,0,655000,0
1538,V55 Lite,Luna,2.048 MB,13 MP,5.5 inch,3000 mAh,2019.0,Luna V55 Lite,1331500.0,0,1331500,0
1539,Xperia Ion LT28H,Sony,1 GB,12.1 MP,4.5 inch,1900 mAh,2011.0,Sony Xperia Ion LT28H,2083400.0,0,2299000,0
1540,Galaxy Infinite SCH-I759,Samsung,1 GB,3 MP,4 inch,1500 mAh,2012.0,Samsung Galaxy Infinite SCH-I759,699141.1111111111,0,499000,0
1541,A950,Mito,256 MB,2 MP,3.5 inch,1500 mAh,,Mito A950,340000.0,0,340000,0
1542,Moto Z3,Motorola,4 GB,12 MP,6 inch,,,Motorola Moto Z3,0.0,0,0,0
1543,220,Mito,512 MB,2 MP,5 inch,2700 mAh,2011.0,Mito 220,120927.77777777777,0,110000,0
1544,Galaxy Win i8550,Samsung,1 GB,5 MP,4.7 inch,2000 mAh,2013.0,Samsung Galaxy Win i8550,976000.0,0,780000,0
1545,L501,Polytron,1 GB,8 MP,5 inch,2100 mAh,,Polytron L501,597333.3333333335,0,550000,0
1546,Zenith,My Phone,768 MB,8 MP,4.5 inch,2000 mAh,2013.0,My Phone Zenith,799000.0,0,799000,0
1547,MX8,Luna,3 GB,13 MP,5.5 inch,4200 mAh,,Luna MX8,580305.5555555555,0,580000,0
1548,S70,Doogee,6 GB,12 MP,6 inch,5050 mAh,2018.0,Doogee S70,5275000.0,0,5275000,0
1549,8X RAM 6GB ROM 128GB,Honor,6 GB,20 MP,6.5 inch,3750 mAh,2018.0,Honor 8X RAM 6GB ROM 128GB,5007050.0,0,5012000,0
1550,Blade A711,ZTE,2 GB,13 MP,5.5 inch,3000 mAh,2015.0,ZTE Blade A711,2170000.0,0,2170000,0
1551,M6T 16GB,Meizu,2 GB,13 MP,5.7 inch,3300 mAh,2018.0,Meizu M6T 16GB,1135083.888888889,0,1295000,0
1552,M4X Lite,nuu mobile,3 GB,13 MP,5 inch,2400 mAh,2018.0,nuu mobile M4X Lite,870000.0,0,870000,0
1553,6.1 RAM 3GB ROM 32GB,Nokia,3 GB,16 MP,5.5 inch,3000 mAh,2018.0,Nokia 6.1 RAM 3GB ROM 32GB,2818336.448598131,0,2204000,0
1554,Liquid Z520,Acer,1 GB,8 MP,5 inch,2000 mAh,2015.0,Acer Liquid Z520,782827.7777777779,0,675000,0
1555,8X Max,Honor,4 GB,16 MP,7.12 inch,5000 mAh,2018.0,Honor 8X Max,3435900.0,0,3999000,0
1556,Z5s RAM 4GB ROM 64GB,Lenovo,4 GB,16 MP,6.3 inch,3300 mAh,2018.0,Lenovo Z5s RAM 4GB ROM 64GB,0.0,0,0,0
1557,T99,Mito,512 MB,2 MP,7 inch,2200 mAh,2015.0,Mito T99,518638.88888888893,0,515000,0
1558,Galaxy Xcover 4,Samsung,2 GB,13 MP,5 inch,2800 mAh,2017.0,Samsung Galaxy Xcover 4,1325383.333333333,0,1300000,0
1559,Moto C LTE,Motorola,1 GB,5 MP,5 inch,2350 mAh,2017.0,Motorola Moto C LTE,711422.2222222221,0,699000,0
1560,Yendo W150I,Sony Ericsson,,2 MP,2.6 inch,970 mAh,2010.0,Sony Ericsson Yendo W150I,699000.0,0,699000,0
1561,Vandroid S4Z Plus,Advan,1 GB,5 MP,4 inch,1200 mAh,2017.0,Advan Vandroid S4Z Plus,490905.5555555556,0,496000,0
1562,Vibe X3 RAM 2GB ROM 16GB,Lenovo,2 GB,13 MP,5.5 inch,3400 mAh,2015.0,Lenovo Vibe X3 RAM 2GB ROM 16GB,5330439.024390244,0,3700000,0
1563,One E9s Dual SIM,HTC,2 GB,13 MP,5.5 inch,2600 mAh,2015.0,HTC One E9s Dual SIM,6230000.0,0,6230000,0
1564,Zenfone 2 ZE551ML RAM 4GB ROM 16GB,ASUS,4 GB,13 MP,5.5 inch,3000 mAh,2015.0,ASUS Zenfone 2 ZE551ML RAM 4GB ROM 16GB,1742511.111111111,0,1485000,0
1565,Nubia Z18,ZTE,8 GB,24 MP,5.99 inch,3450 mAh,2018.0,ZTE Nubia Z18,0.0,0,0,0
1566,P6000,Blackview,6 GB,21 MP,5.5 inch,6180 mAh,2017.0,Blackview P6000,2199000.0,0,2199000,0
1567,Redmi Pro 32GB,Xiaomi,3 GB,13 MP,5.5 inch,4050 mAh,2016.0,Xiaomi Redmi Pro 32GB,1287000.0,0,1299000,0
1568,Picophone M4S,Axioo,1 GB,8 MP,4.5 inch,,2016.0,Axioo Picophone M4S,750000.0,0,750000,0
1569,S18 Comet,SPC,2 GB,8 MP,5 inch,2500 mAh,2015.0,SPC S18 Comet,744311.1111111111,0,750000,0
1570,Y9 Prime 64GB,Huawei,4 GB,16 MP,6.59 inch,4000 mAh,2019.0,Huawei Y9 Prime 64GB,0.0,0,0,0
1571,Nova 5 128GB,Huawei,8 GB,48 MP,6.39 inch,3500 mAh,2019.0,Huawei Nova 5 128GB,0.0,0,0,0
1572,Xperia 10 Plus 4GB,Sony,4 GB,12 MP,6.5 inch,3000 mAh,2019.0,Sony Xperia 10 Plus 4GB,0.0,0,0,0
1573,1 Plus,Nokia,1 GB,8 MP,5.45 inch,2500 mAh,2019.0,Nokia 1 Plus,0.0,0,0,0
1574,Rocket Quadra W6500,Polytron,512 MB,8 MP,5 inch,1750 mAh,2014.0,Polytron Rocket Quadra W6500,1085000.0,0,1100000,0
1575,Galaxy A20e,Samsung,3 GB,13 MP,5.8 inch,3000 mAh,2019.0,Samsung Galaxy A20e,0.0,0,0,0
1576,Zenfone 4A Max ZB500TL,ASUS,3 GB,13 MP,5 inch,4100 mAh,2017.0,ASUS Zenfone 4A Max ZB500TL,1285972.2222222222,0,1049000,0
1577,U69,Haier,,2 MP,3 inch,1100 mAh,2010.0,Haier U69,0.0,0,0,0
1578,iPhone 4 64GB,Apple,512 MB,5 MP,3.5 inch,1420 mAh,2013.0,Apple iPhone 4 64GB,1457311.111111111,0,1500000,0
1579,Lumia 535,Microsoft,1 GB,5 MP,5 inch,1905 mAh,2014.0,Microsoft Lumia 535,590733.3333333335,0,500000,0
1580,Nuvifone A10,Garmin-Asus,512 MB,5 MP,3.2 inch,1500 mAh,2010.0,Garmin-Asus Nuvifone A10,0.0,0,0,0
1581,X10,Cubot,2 GB,13 MP,5.5 inch,2400 mAh,2016.0,Cubot X10,2750000.0,0,2750000,0
1582,Xperia Acro S LT26w,Sony,1 GB,12 MP,4.3 inch,1910 mAh,2012.0,Sony Xperia Acro S LT26w,4866716.666666667,0,4899000,0
1583,Galaxy Note 3 64GB LTE N9005,Samsung,3 GB,13 MP,5.7 inch,,2013.0,Samsung Galaxy Note 3 64GB LTE N9005,0.0,0,0,0
1584,S30,CAT,1 GB,5 MP,4.5 inch,,2015.0,CAT S30,4055833.333333334,0,4450000,0
1585,Nubia Z20,ZTE,6 GB,48 MP,6.4 inch,4000 mAh,2019.0,ZTE Nubia Z20,0.0,0,0,0
1586,Hot S3X,Infinix,3 GB,13 MP,6.2 inch,4000 mAh,2018.0,Infinix Hot S3X,1299377.7777777778,0,1200000,0
1587,P70,Lenovo,2 GB,13 MP,5 inch,4000 mAh,2014.0,Lenovo P70,1265150.0,0,900000,0
1588,Vandroid Q7A,Advan,512 MB,2 MP,3.5 inch,1200 mAh,2013.0,Advan Vandroid Q7A,648894.4444444445,0,670000,0
1589,Galaxy S20 Plus 5G RAM 12GB ROM 512GB,Samsung,12 GB,12 MP,6.7 inch,4500 mAh,2020.0,Samsung Galaxy S20 Plus 5G RAM 12GB ROM 512GB,0.0,0,0,0
1590,iPhone 5c 32GB,Apple,1 GB,8 MP,4 inch,1440 mAh,2012.0,Apple iPhone 5c 32GB,1568300.0,0,1300000,0
1591,Vandroid S5A,Advan,512 MB,8 MP,5.2 inch,2500 mAh,2011.0,Advan Vandroid S5A,1299000.0,0,1299000,0
1592,Zenfone 4 Selfie Pro ZD552KL,ASUS,4 GB,16 MP,5.5 inch,3000 mAh,2017.0,ASUS Zenfone 4 Selfie Pro ZD552KL,1592400.0,0,1575000,0
1593,M9 Note,Meizu,3 GB,48 MP,6.2 inch,4000 mAh,2019.0,Meizu M9 Note,0.0,0,0,0
1594,P20,Huawei,4 GB,12 MP,5.8 inch,3400 mAh,2018.0,Huawei P20,5854111.111111111,0,5990000,0
1595,Darling,Protruly,4 GB,13 MP,5.5 inch,3560 mAh,2016.0,Protruly Darling,0.0,0,0,0
1596,Power Max P16K Pro,Energizer,6 GB,16 MP,5.9 inch,16000 mAh,2018.0,Energizer Power Max P16K Pro,0.0,0,0,0
1597,C3303 Champ,Samsung,,1.3 MP,2.4 inch,1000 mAh,2010.0,Samsung C3303 Champ,213318.88888888888,0,30000,0
1598,5 64GB,OnePlus,6 GB,16 MP,5.5 inch,3300 mAh,2017.0,OnePlus 5 64GB,7100000.0,0,7100000,0
1599,Vandroid S4K,Advan,1 GB,5 MP,4 inch,1300 mAh,2015.0,Advan Vandroid S4K,250709.44444444447,0,107900,0
1600,Galaxy C9,Samsung,6 GB,16 MP,6 inch,,2016.0,Samsung Galaxy C9,6682416.666666668,0,3200000,0
1601,U50A MAX,Evercoss,2 GB,13 MP,5 inch,2350 mAh,2018.0,Evercoss U50A MAX,776861.1111111111,0,775000,0
1602,Prime 9,NEXCOM,2 GB,5 MP,,,2019.0,NEXCOM Prime 9,561125.0,0,632700,0
1603,Pixel 3A XL,Google,4 GB,12.2 MP,6 inch,3700 mAh,2019.0,Google Pixel 3A XL,0.0,0,0,0
1604,M6 Note RAM 3GB ROM 32GB,Meizu,3 GB,12 MP,5.5 inch,4000 mAh,2017.0,Meizu M6 Note RAM 3GB ROM 32GB,2198833.333333333,0,1890000,0
1605,5T 64GB,OnePlus,6 GB,20 MP,6 inch,3500 mAh,2017.0,OnePlus 5T 64GB,7545094.444444444,0,7075000,0
1606,Xperia V LT25i,Sony,1 GB,13 MP,4.3 inch,1750 mAh,2012.0,Sony Xperia V LT25i,1200000.0,0,1200000,0
1607,Vandroid S4R,Advan,256 MB,2 MP,4 inch,1300 mAh,2015.0,Advan Vandroid S4R,469380.0,0,470000,0
1608,Galaxy Fresh / Trend S7390,Samsung,512 MB,3.15 MP,4 inch,1500 mAh,2013.0,Samsung Galaxy Fresh / Trend S7390,1250000.0,0,1250000,0
1609,9 Lite Ram 4GB Rom 64GB,Honor,4 GB,13 MP,5.65 inch,3000 mAh,2017.0,Honor 9 Lite Ram 4GB Rom 64GB,0.0,0,0,0
1610,U9 128GB,Gome,6 GB,12 MP,6.18 inch,3160 mAh,2018.0,Gome U9 128GB,0.0,0,0,0
1611,Vandroid S35H,Advan,256 MB,5 MP,3.5 inch,1300 mAh,2015.0,Advan Vandroid S35H,419000.0,0,419000,0
1612,Pixel 3A,Google,4 GB,12.2 MP,5.6 inch,3000 mAh,2019.0,Google Pixel 3A,6109500.0,0,5700000,0
1613,NEX A,Vivo,6 GB,12 MP,6.59 inch,4000 mAh,2018.0,Vivo NEX A,0.0,0,0,0
1614,Aquos Zeta SH-01H,Sharp,3 GB,13 MP,5.3 inch,3100 mAh,2015.0,Sharp Aquos Zeta SH-01H,0.0,0,0,0
1615,C131,i-Cherry,256 MB,2 MP,3.5 inch,1500 mAh,2014.0,i-Cherry C131,565727.7777777779,0,600000,0
1616,Noah S12 Mercury,SPC,1 GB,8 MP,5 inch,2500 mAh,,SPC Noah S12 Mercury,510983.33333333326,0,500000,0
1617,Desire 728,HTC,2 GB,13 MP,5.5 inch,2800 mAh,2015.0,HTC Desire 728,0.0,0,0,0
1618,iPhone 3GS 16GB,Apple,256 MB,3.15 MP,3.5 inch,,2009.0,Apple iPhone 3GS 16GB,540330.5555555555,0,115000,0
1619,U11 RAM 4GB ROM 64GB,HTC,4 GB,12 MP,5.5 inch,3000 mAh,2017.0,HTC U11 RAM 4GB ROM 64GB,8472222.222222222,0,8500000,0
1620,Honor 5A,Huawei,2 GB,13 MP,5.5 inch,3100 mAh,2016.0,Huawei Honor 5A,1200027.7777777778,0,1099000,0
1621,Mi S,Xiaomi,4 GB,12 MP,4.6 inch,2600 mAh,,Xiaomi Mi S,0.0,0,0,0
1622,Vandroid S35D,Advan,256 MB,3 MP,3.5 inch,1300 mAh,2012.0,Advan Vandroid S35D,429000.0,0,429000,0
1623,Y7 Prime,Huawei,3 GB,12 MP,5.5 inch,4000 mAh,2017.0,Huawei Y7 Prime,1466666.666666667,0,1440000,0
1624,Stylus 3 RAM 3GB,LG,3 GB,13 MP,5.7 inch,3200 mAh,2017.0,LG Stylus 3 RAM 3GB,2330000.0,0,2400000,0
1625,Life Young,PIXCOM,256 MB,,3.5 inch,1000 mAh,2013.0,PIXCOM Life Young,290000.0,0,290000,0
1626,Xperia Ray ST18i,Sony,512 MB,8 MP,3.3 inch,1500 mAh,2011.0,Sony Xperia Ray ST18i,1825000.0,0,1825000,0
1627,One M7 801E 32GB,HTC,2 GB,4 MP,4.7 inch,2300 mAh,2013.0,HTC One M7 801E 32GB,1850000.0,0,1850000,0
1628,G'zOne Commando 4G LTE,Casio,1 GB,8 MP,4 inch,1800 mAh,2013.0,Casio G'zOne Commando 4G LTE,0.0,0,0,0
1629,Fantasy Selfie A77,Mito,1 GB,8 MP,4.5 inch,1500 mAh,2014.0,Mito Fantasy Selfie A77,770000.0,0,770000,0
1630,Hot 3 Lite X554,Infinix,2 GB,8 MP,5 inch,3000 mAh,2014.0,Infinix Hot 3 Lite X554,1329655.5555555557,0,1475000,0
1631,Vandroid B5,Advan,2 GB,8 MP,5 inch,,2016.0,Advan Vandroid B5,1025000.0,0,1025000,0
1632,Galaxy S6 Active SM-G890 32GB,Samsung,3 GB,16 MP,5.1 inch,3500 mAh,2015.0,Samsung Galaxy S6 Active SM-G890 32GB,6375899.28057554,0,6000000,0
1633,iPhone 5c 64GB,Apple,1 GB,8 MP,4 inch,1440 mAh,2012.0,Apple iPhone 5c 64GB,2035000.0,0,2035000,0
1634,Xperia XA2 Ultra,Sony,4 GB,21 MP,6 inch,3580 mAh,2017.0,Sony Xperia XA2 Ultra,4301722.222222222,0,3990000,0
1635,Bold 9900 Dakota,BlackBerry,768 MB,5 MP,2.8 inch,1230 mAh,2011.0,BlackBerry Bold 9900 Dakota,827483.3333333335,0,637000,0
1636,Fantasy U A60,Mito,1 GB,13 MP,5 inch,2000 mAh,2014.0,Mito Fantasy U A60,1043650.0,0,1229000,0
1637,Zenfone Max Plus (M1) ZB570TL RAM 3GB ROM 32GB,ASUS,3 GB,16 MP,5.7 inch,4130 mAh,2017.0,ASUS Zenfone Max Plus (M1) ZB570TL RAM 3GB ROM 32GB,1824972.2222222225,0,1765000,0
1638,2.2 16GB,Nokia,2 GB,13 MP,5.71 inch,3000 mAh,2019.0,Nokia 2.2 16GB,0.0,0,0,0
1639,Mate 10,Huawei,4 GB,20 MP,5.9 inch,4000 mAh,2017.0,Huawei Mate 10,5413055.555555556,0,4500000,0
1640,Polymer 3,Himax,1 GB,5 MP,4.5 inch,1650 mAh,2015.0,Himax Polymer 3,525000.0,0,525000,0
1641,Galaxy Mini 2 S6500,Samsung,512 MB,3.15 MP,3.27 inch,1300 mAh,2011.0,Samsung Galaxy Mini 2 S6500,1883800.0,0,1937000,0
1642,AQUOS Crystal 2,Sharp,2 GB,8 MP,5.2 inch,2030 mAh,2015.0,Sharp AQUOS Crystal 2,0.0,0,0,0
1643,Galaxy J2 Core (2020),Samsung,1 GB,8 MP,5 inch,2600 mAh,2020.0,Samsung Galaxy J2 Core (2020),0.0,0,0,0
1644,Asha 305,Nokia,32 MB,2 MP,3 inch,1110 mAh,2012.0,Nokia Asha 305,216588.88888888888,0,550000,0
1645,OneTouch Flash Plus,Alcatel,2 GB,13 MP,5.5 inch,3500 mAh,2015.0,Alcatel OneTouch Flash Plus,1860000.0,0,1860000,0
1646,Nex 3,Vivo,8 GB,64 MP,6.89 inch,4500 mAh,2019.0,Vivo Nex 3,0.0,0,0,0
1647,Hot S2 Pro X522,Infinix,3 GB,13 MP,5.5 inch,3000 mAh,2017.0,Infinix Hot S2 Pro X522,1302088.888888889,0,1199000,0
1648,KF222,Tiger,512 MB,1.3 MP,3.5 inch,,2013.0,Tiger KF222,550000.0,0,550000,0
1649,Octa,K-TOUCH,2 GB,13 MP,5 inch,2000 mAh,2014.0,K-TOUCH Octa,1799000.0,0,1799000,0
1650,Y9,Sugar,3 GB,13 MP,5.5 inch,3000 mAh,,Sugar Y9,0.0,0,0,0
1651,S9 Neptune,SPC Mobile,512 MB,5 MP,4 inch,1500 mAh,,SPC Mobile S9 Neptune,455666.66666666674,0,400000,0
1652,Maxx,Haier,1 GB,8 MP,5 inch,2200 mAh,2007.0,Haier Maxx,524750.0,0,524750,0
1653,Lens DC1,HiCore,1 GB,,4.5 inch,2100 mAh,,HiCore Lens DC1,839400.0,0,839400,0
1654,iPhone 4s CDMA 8GB,Apple,512 MB,8 MP,3.5 inch,1432 mAh,2011.0,Apple iPhone 4s CDMA 8GB,0.0,0,0,0
